Current Position Requirements,Current Position,Alternative 1,Alternative 2
"Bachelor's/Master's degree in CS or related discipline; Mathematical background desired; 3+ years of professional software development experience; Analytical, technical, and interpersonal skills; Ability to work on multiple projects at the same time; Experience in system and application programming for Windows and/or UNIX/Linux;  Experience in developing multithreaded, distributed and/or client-server applications with POSIX sockets desired; Excellent knowledge of C and C++ languages as well as their ANSI/ISO standards;  Knowledge of C#, Perl and UNIX shell scripts desired; Knowledge of English and Russian languages are on communication level.",Software Developer,Software Engineer,Project Manager
"Minimum two years of work experience as a lawyer in banking sector; Strong knowledge of the RA legislation, the Central Bank requirements and necessary judicial procedures; Working knowledge of English language; Accurate, detail oriented, ability to meet deadlines; Good interpersonal skills; Ability to work within strict and flexible time frames.",Lawyer,Chief Accountant,Accountant
"Excellent communication skills;  Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus;  Basic computer and internet, e-mail skills;  Punctual, communicative, open-minded, self-confident personality, eager to learn and flexible;  Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"Bachelor's degree in Economics; Relevant work experience, experience in an exporting company is a plus; Strong attention to detail and ability to handle multiple tasks simultaneously; Knowledge of Microsoft Office;  Experience with 1C is a plus; Well organized, but flexible to changing priorities; Comfortable working with different team both locally and remotely; Knowledge of English and Russian languages.",Administrative Assistant,Accountant,Lawyer
"Higher Medical or Pharmaceutical education; Excellent communication skills in Armenian and Russian language;  Knowledge of English language is an advantage; Computer literacy (MS Office programs); Excellent presentation, communication and interpersonal skills;  Ability to work independently and in the team; Driver license is desirable.",Medical Representative,Sales Manager,Administrative Assistant
"Higher education (preferably in finance, accounting or economical field); Minimum 2 years of experience in accounting area; Knowledge of Accounting Standards of the RA, other accounting and tax related laws and regulations; Excellent knowledge of Armenian and Russian languages; Knowledge of English language is a plus; Excellent knowledge of MS Excel and Word; Analytical skills; Team player.",Accountant,Chief Accountant,Lawyer
"University degree in Medicine or Pharmacy; Experience in the pharmaceutical industry would be an advantage; Fluent knowledge of Russian language, knowledge of English would be beneficial.",Medical Representative,Sales Manager,Accountant
"Bachelor's degree in Accounting or Finance; 5+ year accounting and reporting experience; 4+ years of upper management responsibility; Strong interpersonal, team building and coaching skills; Excellent computer and information systems skills, i.e., Excel, 1C.",Chief Accountant,Accountant,Project Manager
"Education: University degree. A background in areas such as office administration, management, human resources, or accounting is desirable; Computer literacy; Proficient use of Microsoft applications, including Word and Excel; Polite telephone manner; Excellent time management and organizational skills; Ability to work effectively within a team and individually; Ability to work efficiently under pressure and tight time constraints; Excellent communication skills; Fluency in both written and spoken English, Armenian and Russian languages; Minimum three years of experience in an administrative role in a large office, international organization desirable.",Administrative Assistant,Office Manager,Accountant
"University degree, preferably in Accounting or Business, with experience in accounting and finance; At least 2 years of work experience in accounting; Knowledge of local accounting standards and local tax legislation; Strong knowledge of 1C: Enterprise; Strong knowledge of Excel and Outlook and good knowledge of other MS Office applications; Knowledge of chart of account, taxation of RA, accounting standards; High self-organizational skills and high sense of responsibility; Ability to introduce analytic thought; Detail oriented personality, analytical and excellent communication skills; Ability to work under pressure and meet deadlines; Strong team work capacities; Good knowledge of Armenian and English languages.",Accountant,Chief Accountant,Sales Manager
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"Higher education, preferably in Marketing, Economics or in a related field; Related sales experience; Excellent organizational, analytical and problem solving skills; Strong communication and presentation skills; Good management skills and market researching tactics; Strong understanding of customer and market requirements; Ability to work in a team and under pressure; High sense of responsibility and ability to sell; Excellent knowledge of Armenian, Russian and English languages, knowledge of other languages will be an asset; Excellent computer and interpersonal skills.",Sales Manager,Marketing Specialist,Marketing Manager
"University degree in the appropriate field of studies; At least 1 year of practical experience; Good knowledge of PHP; Good knowledge of OOP principles; Good knowledge of DHTML (JavaScript, CSS2, CSS3, HTML4 and HTML5); Good knowledge of other programming languages, such as Ruby and Python; Experience in developing pages for iOS is a big plus; Experience in working on Photoshop or Corel Draw is a big plus; Experience with working in Linux environment (Ubuntu and Suse) is preferable; Good analytical skills; Ability to work in a team; Excellent knowledge of English language, both communication and technical level.",PHP Developer,Web Developer,Software Developer
"University degree;  Up to 3 years of work experience in the field of Sales; Knowledge of principles and processes for providing customer services (this includes customer needs assessment, meeting quality standards for services and evaluation of customer satisfaction); Innovator with a systematic approach with the ability to convince others; Excellent knowledge of Russian and Armenian languages, both written and verbal; knowledge of English language is a plus; Excellent knowledge of MS Office, Internet and Outlook; Knowledge of business and management principles involved in strategic planning, resource allocation, leadership technique, production methods, and coordination of people and resources; Self-motivated personality with the ability to work independently within a given broad line framework; Ability to work under pressure; High sense of responsibility.",Sales Manager,Administrative Assistant,Office Manager
"University degree in software engineering or other relevant field; Knowledge of FoxPro 8-9, Ado. net, SQL; 2-3 years of relevant work experience; Fluency in Armenian, Russian and English languages; Creative and analitical thinking; Good team-player.",Software Developer,Accountant,Sales Manager
"University or professional degree in Accounting; At least 2 years of work experience with 1C version 8.2.;  Excellent knowledge of corresponding laws and regulations; Good interpersonal skills, ability to work as a part of the team;  Good competence in MS Office.",Accountant,Chief Accountant,Lawyer
"At least 2 years of work experience in a manufacturing company; Higher education in Finances, Economics or Accounting; Knowledge of and experience with 1C or Armenian Software; Fluency in Armenian and Russian languages, knowledge of English language is a plus; Flexible personality with high sense of responsibility.",Accountant,Chief Accountant,Sales Manager
"Knowledge of C, C++, Java, Objective-C; Principles of Object Oriented Programming and Design; BS in Engineering, Applied-math or Physics; Work experience is not obligatory. Desired knowledge and experience: Graph Theory, Combinatorial Optimization, Computational Geometry, Linear Algebra, Mathematical optimization, Numerical methods; Generic programming, STL, Boost, other open-source projects usage, maintenance; Digital Circuits design, RTL design, understanding of EDA back-end design tools, methodologies and algorithms.",Software Engineer,Software Developer,Java Developer
"University degree; Good knowledge of Microsoft Office tools (Excel, Word, E-mail, Internet); Excellent knowledge of Armenian and Russian languages; knowledge of English is a plus; Good communication and presentation skills; Communication abilities (both oral and written).",Administrative Assistant,Office Manager,Sales Manager
"Specialised higher education; Knowledge of Armenian Jurisdiction; Excellent knowledge of Russian and Armenian languages, knowledge of English language is welcome; Ability to work in a team.",Lawyer,Medical Representative,Sales Manager
"Experience in Web Development HTML, CSS, JavaScript (jQuery and Ajax is a plus); experience of PHP as a server-side language is preferable; Database knowledge  MS SQL and/ or MySQL servers; Basic knowledge of Classic ASP, .NET, C#, OOP; Experience with Web Services is a plus; Experience with CMS is a plus; Basic knowledge of Designing Tools  Adobe Photoshop, Adobe Illustrator or Corel Draw; Ability to adapt and learn quickly; Good analytical skills; Ability to work in a team; Good knowledge of English language on a technical level.",Web Developer,Software Developer,PHP Developer
nan,English Language Courses,Project Manager,Administrative Assistant
"Bachelor's degree in Computer Sciences, Information Technology or a related discipline. Masters degree is preferred; Good knowledge of Object Oriented Programming; At least 5 years of professional work experience in software development; Strong Java programming skills; At least 3 years of work experience in J2EE development, (JSP, Java Server Faces and Spring framework); At least 3 years of practical knowledge/ programming of client-side Java Script/ HTML/ XML;  Previous work experience with database systems under one of the following platforms: MS SQL, MySQL and ORACLE; Full understanding of the development lifecycle; Ability to work under pressure and in multi-task environment;  Ability to work in a team while being self-directed and highly motivated;   Excellent analytical and problem-solving skills and attention to detail; Ability to communicate, read and understand technical documentation in English language.",Java Developer,Software Developer,Web Developer
"Bachelor's/ Masters degree in Computer Sciences or in a related field; At least 2 years of experience in developing Java web-based applications; Good Java and Spring/ Spring MVC development experience in a project setting; Experience with JSP, AJAX, JQuery and JavaScript; Experience with XML, HTML, CSS, cross-browser compatibility; Experience with relational database (MS SQL Server, MySQL); Experience in data model and object design; Good understanding of OOP principles; Good analytical skills; Excellent communication and teamwork skills; Ability to work independently; Good knowledge of English language on both communication and technical level.",Java Developer,Web Developer,Software Developer
"University degree in Pharmaceutical field; At least 3 years of work experience in Marketing; Excellent knowledge of Armenian, English and Russian languages; Excellent computer skills; Analytical and creative thinking; Team leadership, effective problem solving and decision making skills; Driving license and experience.",Marketing Manager,Sales Manager,Medical Representative
"Bachelors Degree in Marketing or related field; MBA preferred; Minimum 3 years of strategic marketing experience; Aptitude and experience in tracking and gauging effectiveness of marketing programs; Passionate, high energy and entrepreneurial with an ability to manage the big picture while maintaining a hands-on approach; Proven track record of performing comprehensive market analysis with a genuine appreciation for product performance and quality; Ability to take initiative and contribute to growth of the business; Strong critical thinking and assessment skills.",Marketing Manager,Marketing Specialist,Sales Manager
"Higher education in related field; Proficiency in Visual Basic, Borland Delphi, SQL Server systems.",Software Engineer,Software Developer,System Administrator
"BS or MS degree in Computer Science or in a similar discipline; 2 and more years of experience in software QA; Understanding of QA processes and methodologies; Experience with manual testing; Experience with automated testing, using different test automation tools and environments; Knowledge of Linux environment; Knowledge of Java language and Android development is a plus; Knowledge of Agile methodologies is a plus.",QA Engineer,Java Developer,Software Developer
"Higher education; At least 2 years of experience in the relevant field; experience in an international company is a plus; Knowledge of RA tax legislation; Numerical and budgeting skills; Effective verbal and written communication skills; Ability to set priorities, plan, develop, and coordinate multiple activities; Fluency in English language; Knowledge of MS Office, Armenian Software.",Chief Accountant,Accountant,Lawyer
University degree in economics or accounting or equivalent; At least five years of experience in accounting; Work experience with accounting software and other computer software; Good knowledge of Armenian accounting legislation reporting requirements; Fluent knowledge of English language.,Accountant,Chief Accountant,Sales Manager
"Advanced knowledge of OOP; Professional work experience in projects as a Java-developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year; Professional work experience in the development of multi-layered client-server applications, client and server Web application components; Professional work experience in Oracle and MS SQL databases; Experience in IBM WebSphere, WebLogic, JBoss, JRun; Ability to develop quality code, apply proper language constructions, and use quality algorithms; Willingness  to increase your competencies and professionalism; Ability to identify problems on the fly, separate joint moments; Basic knowledge of English language. Desired qualifications: Ability to responsibly complete assigned tasks according to deadlines; Highly productive: ability to work under pressure, adapt to dynamic business environment, make decisions and take responsibility; Energetic, capable of being a team leader; Ability to appropriately make decisions on issues of different complexity for areas of responsibility; Ability to express your thoughts clearly.",Java Developer,Software Developer,Project Manager
"Excellent communication skills; Good oral and written communication skills in Armenian, English and Russian languages;  Basic computer and internet skills; Punctual, communicative and open-minded personality; Ability to complete the tasks in a timely manner.",Administrative Assistant,Receptionist/ Administrative Assistant,Sales Manager
"University degree in an appropriate discipline; 2 years of work experience with International Organizations; Work experience in Management; Computer literacy (Microsoft Word, Excel and Access); Fluency in Russian, Armenian and English languages.",Office Manager,Administrative Assistant,Accountant
"Experience with XML, HTML, CSS, Adobe Photoshop, Windows operating systems and other Web related services; Basic knowledge of Java Script and Macromedia Flash; Strong problem-solving skills; Good knowledge of technical English language. Good knowledge of Russian and Armenian languages (written and oral); Good knowledge of Internet and ability to conduct searches if needed; Knowledge of ASP/ MsSQL or PHP/ MySQL is a plus; Good communication skills.",Web Developer,Software Developer,Java Developer
"Corresponding professional education (Arts or Architecture); Good knowledge of Corel Draw, Photoshop; Graphic Design; Prepress; Web Design; Professional experience is not required; Can be last year student; Dynamic, team oriented, punctual personality with sense of responsibility; Sense of inquisitiveness and fantasy.",Graphic Designer,Web Developer,Accountant
"Medical education (GP) preferably specialized in Neurology or Cardiology; At least 2 years of work experience; Excellent communication skills in Armenian and Russian languages, knowledge of English language is desirable; Computer literacy (basic level);  Driving license is desirable.",Medical Representative,Sales Manager,Accountant
"Excellent knowledge of English, Russian and Armenian languages; Excellent knowledge of MS Office, Internet, E-mail; Willingness to work on and develop working skills; Be a goal-oriented, active and hard-working person; Proper analytical and communication skills; Be apart from chatting skills.",Office Manager,Administrative Assistant,Sales Manager
"University degree in Marketing or Economics is an asset; Up to 2 years of work experience in the field of Marketing, Sales or Advertisement; Creative, self-motivated and capable personality, able to work independently; Effective problem-solving, decision-making skills; Excellent customer service skills; Energetic personality, able to work under pressure; Excellent organizational, interpersonal, communicational and presentational skills; Good analytical ability and aptitude for oral and written communication; High sense of responsibility; Professional attitude and appearance; Excellent knowledge of Russian, English and Armenian languages (both oral and written); Excellent computer command.",Sales Manager,Marketing Specialist,Administrative Assistant
At least 3 years of work experience in accounting and reporting for financial and tax purposes; Excellent knowledge of Armenian legislation;  Fluency in Armenian and Russian languages;  Advanced skills in MS Excel;  Ability to work under pressure.,Accountant,Chief Accountant,Lawyer
Higher education in Finance and Accounting; At least two years of relevant professional work experience (preferably in Accounting departments); Computer skills (experience with Accounting Software 1C is a plus); Fluency in English language is an asset.,Accountant,Chief Accountant,Administrative Assistant
"University degree in Finance, Business Administration or similar education; International education and/ or work experience; Strong business relationship to Business Controlling (Head office) in day-to-day business; Experience using an accounting software; Good knowledge of English and Armenian languages.",Accountant,Chief Accountant,Administrative Assistant
"BS degree in computer engineering or equivalent; Software development experience with C/C++; Knowledge of algorithms and data structures;  Knowledge of QT and STL libraries; Working experience on UNIX/Linux; Experience in Generic programming, C++ templates;  English language communication skills and ability to compile functional and design specifications. Desired skills:  Experience in designing user-friendly GUI; Application performance profiling debugging skills;  Knowledge of core Java; Good knowledge of high-performance computing.",Software Engineer,Software Developer,Java Developer
"A college degree with a major in Accounting is preferred;  At least 3 years of experience in accounting  ideally in a multi-site, multi-business fast moving consumer-based organisation; Quantitative skills; Familiarity with 1C accounting and/ or other accounting systems; Knowledge of spreadsheet applications; Strong project management skills; Knowledge of Armenian and English languages.",Accountant,Chief Accountant,Project Manager
"University degree in a relevant field, MBA would be a plus; At least 2 years of practical work experience in relevant area or at least 3 years of practical work experience in senior management positions in sales and marketing; Strong interpersonal skills; Good oral and written communication skills in Armenian, Russian and English languages; High sense of responsibility; High sense of humor; Computer skills including MS Word and Power Point.",Sales Manager,Administrative Assistant,Marketing Specialist
"Higher education, technical education is preferable; Work experience in the field of IT; Ability to work under pressure; Excellent knowledge of Armenian and Russian languages. English language is an asset; Computer literacy in all versions of Windows, MS Office, Adobe Photoshop; Excellent communication skills; Ability to work in a team environment; Ability to manage multiple projects and meet deadlines.",Project Manager,Administrative Assistant,Sales Manager
"Perfect knowledge in typography; Self-motivated conceptual thinker with strong sense of typography and graphic design; Relevant education and work experience is highly desired; Perfect sense of style and art work taste; Advanced knowledge of graphic software (Corel Draw, Adobe Photoshop, Adobe Illustrator, etc.; Ability to work under pressure and meet strict deadlines; Communicative personality, ability to work on project with a development team.",Graphic Designer,Accountant,Project Manager
"University degree in the appropriate field of studies; At least 2 years of practical experience in Java development; Good knowledge of OOP principles; Knowledge of IOC Frameworks like Spring, Guice and Gin is an advantage; Knowledge of GWT or other MVC frameworks such as Struts2 or JSF is an advantage; Knowledge of other programming languages such as Ruby and PHP is an advantage; Knowledge of databases (oracle, postgres, mysql, mssql) is an advantage; Experience in using Eclipse IDE is preferable; Experience with working in Linux environment (Ubuntu, and Suse); Good analytical skills; Ability to work in a team; Excellent knowledge of English language, both on communication and technical level.",Java Developer,PHP Developer,Software Developer
"Higher engineering education; Working experience in construction project implementation, coordination and management; Excellent knowledge of English and Russian languages; Excellent computer skills; Knowledge of project management techniques and tools; Direct work experience in project management capacity; Proven experience in people management; Proven experience in strategic planning; Proven experience in risk management; Proven experience in change management.",Project Manager,Sales Manager,Office Manager
"University degree: Technical; At least 1 year of work experience in the Project Management field; Knowledge of IT industry standards: ITIL or CMMI or ISO; Good communication skills; Ability to work with people in conflict situations; Ability to work under stress; Sense of responsibility; Flexible personality with teamwork abilities; Advanced computer skills: experience in working with MS Office, Power Point, MS Project, Lotus Notes; Fluency in Armenian and Russian languages, knowledge of technical English is an advance.",Project Manager,Sales Manager,Administrative Assistant
"At least 2 years of work experience in the field; Higher education in a relevant field;  Knowledge of 1C program; Good knowledge of Armenian, Russian and English languages.",Sales Manager,Accountant,Lawyer
"University degree in Economics or Marketing; At least 1 year of experience in a relevant field; Knowledge of market-analysis, financial analysis and market forecast; Market research analysis skills; Communication skills; Fluency in Armenian, Russian and English languages.",Marketing Specialist,Marketing Manager,Sales Manager
"University degree in Finance, Accounting or a related field; ACCA certification will be an advantage; At least 2 years of experience in a finance and accounting team; Excellent knowledge of IFRS and experience with IFRS compliant financial reporting; Excellent knowledge of the Armenian tax legislation and ability to analyze; Advanced knowledge of the MS Excel, 1C and Armenian Software; Fluency in Armenian and English languages; Excellent communication skills and ability to work in a team.",Accountant,Chief Accountant,Sales Manager
"Bachelor's degree in a related field; At least 5 years of experience as an Office Manager, preferably in an international organization; Knowledge of office administration; Ability to maintain a high level of accuracy in preparing and entering information; Analytical and problem-solving skills; Effective verbal, listening and written communication skills; Attention to detail and high level of accuracy; Very effective organizational and time management skills; computer skills including knowledge of spreadsheet and word processing programs, and email at a highly proficient level; Excellent knowledge of Armenian, English and Russian languages, both written and verbal.",Office Manager,Administrative Assistant,Sales Manager
"Higher education in Marketing; Strong understanding of customer and market dynamics and requirement; Ability to conduct market analysis and surveys; Analytical thinking and reporting skills; Awareness of modern promotion techniques; Creative, initiative, active, flexible and efficient personality; Good interpersonal and team working skills; Skills in writing reports and preparation of presentations and events; Skills in collection, analysis and synthesis of information; Knowledge of English and Russian languages; Strong computer skills; Business communication skills; Creative and analytical abilities; Organizational and initiative skills; Excellent knowledge of PC (user level); Excellent knowledge of Russian, English and Armenian languages; Strong communication and numerical skills.",Marketing Specialist,Marketing Manager,Sales Manager
"University degree in Economic field with specialization in Marketing, AUA-MBA is preferable; At least 3 years of experience in the field of marketing; Excellent understanding of Market Research and the features of market development Strategies; Project management skills; Reporting and business writing skills; Excellent communication skills; team player; Ability to work in a cross-functional team; Analytic and strategic thinking; Stress resistant; ability to work with large amount of information; Responsible and result-oriented; Initiative, active, flexible and efficient personality; Advanced computer skills; experience in working with MS Office; Fluency in Armenian, Russian and English languages; Experience in marketing/ product management flexibility.",Marketing Manager,Marketing Specialist,Sales Manager
"University degree; Perfect knowledge of Armenian, Russian and English languages; Knowledge of Italian is a plus; Excellent knowledge of MS Office package, Outlook Express; High communication skills, teamwork abilities; Previous work experience in a similar position is a plus; Energetic, good-looking person who is able to work under strong pressure.",Office Manager,Administrative Assistant,Sales Manager
"University degree in the appropriate field of studies; At least 5 years of practical experience with Java development; Knowledge of MySQL; Knowledge of databases (MSSQL, Oracle, Cassandra, HBase) is a plus; Deep knowledge of the J2EE framework and the internals of architecture including JSP, servlets, JDBC, transaction services, Logging (Log4J), thread management and development of asynchronous java processes; Solid understanding of object-oriented programming (OOP); Experience with ORM tools such as Hibernate; Experience with web servers like Tomcat/ Apache; Experience in understanding system security standards and their implementation (Ex, SQL Injections, Cookies); Ability to perform code reviews and recommend automated review tools for the project; Ability to think through performance requirements for a system and come out with testing those scenarios and troubleshoot server runtime issues that result; Experience with working in the Linux environment (Debian and Ubuntu); Good analytical skills; Ability to work in a team; Good knowledge of the English language (both communication and technical).",Java Developer,Software Developer,Web Developer
"Knowledge of PHP programming language; At least 1 year of work experience in programming; Knowledge of OOP basics (classes, objects, inheritance and polymorphism); Knowledge of MySQL database; Knowledge of JS framework; Knowledge of HTML/ CSS; Knowledge of CMS; Knowledge of any PHP Framework; Quick learner; Communication skills, analytical mind.",Software Developer,PHP Developer,Web Developer
"University degree in Law; At least 2 years of experience in a relevant field; Proficiency in Microsoft Office and Outlook; Profound knowledge of civil, licensing and labor legislation and relevant bylaws of the RA, private law details; Proficiency in Armenian, Russian and English languages; Strong communication skills and civil behavior; Strong attention to details and ability to work under pressure; Team player skills; Quick decision-making skills, ability to handle stressful situations.",Lawyer,Accountant,Administrative Assistant
"Candidates should possess experience in branding, marketing, public outreach, and information campaigns; have extensive knowledge of Armenian media outlets, e-based marketing programs, and e-commerce. Candidates should possess a relevant university degree and a minimum of five years experience in a relevant field.",Marketing Specialist,Marketing Manager,Accountant
"University degree; At least 1-2 years of experience in administrative area; Excellent knowledge of Armenian and Russian languages; knowledge of basis of English language will be an advantage; Excellent coordination skills, ability to align priorities and meet deadlines; Dependable and detail oriented personality with high sense of responsibility; Outstanding communication skills; Ability to work independently and as part of a team; Excellent knowledge of office software, including Word, Excel, Outlook and Internet.",Administrative Assistant,Office Manager,Sales Manager
"Associates degree in Accounting (or equivalent years of experience); Relevant computer skills, including Excel;  Well organized personality.",Accountant,Chief Accountant,Administrative Assistant
"At least 3 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/Servlet and Java Server Faces; Persistence layer: OJB, IBATIS and Hibernate; Integration technologies: Spring Framework; Databases: base knowledge with MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database modeling skills; Good knowledge of (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Build environment: Ant, Maven and Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts, etc.; Ability to work on project with a development team; Experience in iPhone applications development is a plus; Ability to lead a small development team is a plus; Ability/ willingness for business trips is a plus; Problem solving skills; Good communication skills; Good English language skills.",Java Developer,Software Developer,Web Developer
Bachelor's degree in Law; At least 1 year of experience in the relevant field; Knowledge of the RA civil and administrative legislation; Fluency in Armenian and Russian languages; Strong knowledge of the English language; Consistency and commitment to continuous self-improvement.,Lawyer,Accountant,Sales Manager
"Creative and pro-active team player; University degree in (bio-medical, health) science or pharmacy; A marketing background, either through education or through sales; Marketing work experience is desirable; Good command of spoken and written English language;  Excellent communication skills; Ability to work in a small dynamic team, understand and utilise scientific and medical data, take initiative, analyse problems and suggest solutions; Enthusiasm, accuracy and a flexible attitude.",Medical Representative,Marketing Specialist,Marketing Manager
"University degree, preferrable in Business Administration; Strong knowledge and experience in sales and marketing; At least 3 years of professional and managerial experience in sales and marketing;  Excellent knowledge of Armenian, English and Russian languages, both written and verbal; Ability to work under pressure and high sense of responsibility; Strong managerial, logistical, interpersonal, communication, co-operation skills, sales and marketing intuition;  Overseas work experince is a plus; Strong computer skills (MS Excel, Internet, etc.).",Marketing Manager,Sales Manager,Marketing Specialist
"1-2 years of professional work experience; in case of higher professional education the work experience in the fields of accounting, audit and economics as well as in the financial-banking system will be a plus; 2-3 years of professional work experience; in case of non-professional higher education the work experience in the financial banking system will be a plus; Experience and skills in working with large amounts of cash; ability to quickly and properly calculate the cash; Organizational, communication and negotiation skills; Ability to work under pressure and keep deadlines; Ability to work in a team and individually; Knowledge of the legal acts regulating the activity of credit organizations will be an advantage; General knowledge of the RA tax code; In-depth knowledge of MS Excel and Word; knowledge of ArmSoft Bank 4.0 Software is preferred; Good knowledge of Internet research; Availability of a professional qualification license provided by the Central Bank of Armenia will be a plus.",Accountant,Chief Accountant,Lawyer
"Bachelor's or Master's degree; At least 5 years of work experience in Java and web development; Experience in web development with the Java EE platform; Knowledge of Java and OOP; Knowledge of Java technologies such as JSF, EJB, Hibernate, Spring, JAX-WS and Axis; Knowledge of databases; good knowledge of SQL; familiarity with MySQL and Oracle databases; database modeling skills; Knowledge of (X)HTML, CSS, JavaScript and XML; Knowledge of GWT is a plus; Ability to work on a project with a development team; Problem-solving skills; Strong interpersonal skills.",Java Developer,Software Developer,Web Developer
"Excellent knowledge of English, Russian and Armenian languages; University degree, preferably in Accounting; Knowledge of the Republic of Armenia Tax and Labor legislation; computer skills; Knowledge of Armenian Software, 1C; good interpersonal and sales skills; Team player; presentable and flexible personality; Knowledge of the market; Effective time management skills; Understanding of sales strategies and account profitability; Demonstrated customer development and relationship management skills.",Chief Accountant,Sales Manager,Accountant
nan,English Language Courses,Project Manager,Administrative Assistant
"Minimum Bachelor's degree in Law, preferably in Civil/ Business Law, (Master's degree is preferable); Strong educational and community background, work experience is an asset; Knowledge of tax and customs legislation is a plus; Excellent computer skills: MS Office, Internet Explorer, e-mail; Excellent knowledge of Armenian, English languages; good knowledge of Russian and other foreign languages is a plus; Knowledge of legal terminology in English as well as experience in drafting legal documents in English (or authentic bilingual contracts); Experience in working with foreign companies is an asset; High sense of responsibility, punctuality, communication skills, ability to work under pressure; Team work and time management skills, high efficiency of work; License of attorney at law is a plus. For the chosen candidate it might be necessary to obtain a license within the nearest possible term (1-2 years of employment).",Lawyer,Administrative Assistant,Office Manager
"Bachelors degree in Computer Science or related discipline; 3+ years of object oriented MS Windows C++ development to include experience with C#, enterprise-class system architecture and design or equivalent combination of education, skills and experience; Demonstrated record of designing and implementing high quality software products delivered to market; Extensive knowledge of Windows platform technologies including Win32 API, COM, threading and sockets; Strong problem-solving skills and ability to be a successful member of a team; Basic English language skills and ability to develop those skills; Desire experience with distributed application architectures, UNIX platforms, interaction with off-shore development teams; Desire knowledge and application of software development methodology  prefer UML.",Software Developer,Software Engineer,Java Developer
University degree (preferably in Technical field); Ability to manage multiple projects simultaneously; Certification in project management is a plus; Good knowledge of English and Russian languages; Ability for frequent travel.,Project Manager,Sales Manager,Administrative Assistant
"University degree; Work experience; Good knowledge of Armenian, English and Russian languages;  Strong experience in using a variety of computer applications.",Office Manager,Sales Manager,Administrative Assistant
nan,English Language Courses,Project Manager,Administrative Assistant
"University degree in Marketing or Economics is an asset; Up to 2 years of work experience in the field of Marketing, Sales or Advertisement; Creative, self-motivated and capable personality, able to work independently; Effective problem-solving, decision-making skills; Excellent customer service skills; Energetic personality, able to work under pressure; Excellent organizational, interpersonal, communicational and presentational skills; Good analytical ability and aptitude for oral and written communication; High sense of responsibility; Professional attitude and appearance; Excellent knowledge of Russian, English and Armenian languages (both oral and written); Excellent computer command.",Marketing Manager,Sales Manager,Marketing Specialist
"Must have Bachelors degree or higher Must have experience in XML, XSL, HTML, DHTML, Photoshop, Corel,Flash, JavaScript, CSS, SQL, PHP/My SQL, Perl, Macromedia Dreamweaver Must have Experience in Apache 1.3 or higher Must have experience in unix/linux system administration Ability to troubleshoot problems and research service enhancements. Must have excellent communications, problem solving/ trouble shooting Must be a self starter, takes initiative, highly motivated Quick to learn new technologies Ability to read technical documentation on English Ability to write administrative reports on English",Web Developer,Java Developer,Software Developer
Bachelors of Science or Master's degree in Computer Sciences or Information Systems; Programming skills; Strong analytical skills; Familiarity with VMware virtualization; Familiarity with MSSQL administration including mirroring; Familiarity with IIS server and Active Directory administration.,System Administrator,Software Developer,Project Manager
"University degree in Law; At least 5 years of work experience in a relevant field; Advanced knowledge and skills in legislative level; Experience in working with foreign companies and clients; Experience in preparing contracts of all levels, NDA, etc.; Strong attention to details; Ability to handle confidential information; Excellent knowledge of MS Office , Excellent knowledge of Russian and English languages; Excellent communication and negotiation skills; Ability to work under pressure and handle stressful situations.",Lawyer,Sales Manager,Administrative Assistant
"Bachelor's degree in Accounting; Masters degree in finance, accounting, or business administration is strongly preferred; Practical knowledge of financial systems and procedures, and internal controls; Qualification of a Chief Accountant from the Central Bank; At least 3 years of work experience in finance, accounting and auditing area; Excellent knowledge of IFRS, knowledge of Insurance Laws, Local Tax legislation; Knowledge and experience in liteInsurance accounting software will be considered as an advantage; Proven experience in development and monitoring of financial plans and budgets, forecasting, financial statements and management reporting; Ability to work under pressure and within strict time frames; Adherence to highest standards of professional integrity and ethics; Strong project management, organizational and decision-making skills, ability to work independently; Excellent knowledge of Armenian and English languages. Knowledge of Russian language is an asset.",Chief Accountant,Accountant,Project Manager
University degree in Medicine or Pharmacy; Communication and organizational skills; Knowledge of Armenian and Russian languages.,Medical Representative,Sales Manager,Administrative Assistant
"Higher education; At least 3 years of experience in each of the following fields: (I) C/ C++; (II) Linux environment (SSH, SFTP and Apache); (III) JavaScript, DOM, HTML5, CSS3, MySQL, PL/ SQL and AJAX; (IV) Knowledge of Python, Ruby and PHP; (V) Relational databases such as MySQL; (VI) Collaborative tools such as SVN.",Software Developer,Web Developer,Java Developer
